sample_id,dataset,cancer type,origin,donor,sample type,number of ctcs,number of wbcs attached,timepoint
GSM5452804,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452805,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452806,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452807,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452808,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452809,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452810,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452811,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452812,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452813,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452814,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452815,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452816,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452817,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452818,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452819,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452820,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452821,GSE180097,breast,xenograft,BR16,ctc_single,1,NULL,active
GSM5452822,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,8,2,resting
GSM5452823,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,14,1,resting
GSM5452824,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,6,1,resting
GSM5452825,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,2,1,resting
GSM5452826,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,10,1,resting
GSM5452827,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,5,1,resting
GSM5452828,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,1,2,resting
GSM5452829,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,4,1,resting
GSM5452830,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,10,1,resting
GSM5452831,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,8,1,resting
GSM5452832,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,2,1,resting
GSM5452833,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,7,1,resting
GSM5452834,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,4,1,resting
GSM5452835,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,3,1,resting
GSM5452836,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,5,1,resting
GSM5452837,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,6,1,resting
GSM5452838,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,10,2,resting
GSM5452839,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,4,1,resting
GSM5452840,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,6,2,resting
GSM5452841,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,13,2,resting
GSM5452842,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,6,1,resting
GSM5452843,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,5,1,resting
GSM5452844,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,5,1,resting
GSM5452845,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,4,1,resting
GSM5452846,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,6,1,resting
GSM5452847,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,1,7,active
GSM5452848,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,1,5,active
GSM5452849,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,1,8,active
GSM5452850,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,1,4,active
GSM5452851,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,1,2,active
GSM5452852,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,1,4,active
GSM5452853,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,1,7,active
GSM5452854,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,1,3,active
GSM5452855,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,1,1,active
GSM5452856,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,2,1,active
GSM5452857,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,5,1,active
GSM5452858,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,3,1,active
GSM5452859,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,2,1,active
GSM5452860,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,5,2,active
GSM5452861,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,3,1,active
GSM5452862,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,3,2,active
GSM5452863,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,3,1,active
GSM5452864,GSE180097,breast,xenograft,BR16,ctc_cluster_wbc,1,1,active
GSM5452865,GSE180097,breast,xenograft,LM2,ctc_cluster,12,NULL,resting
GSM5452866,GSE180097,breast,xenograft,LM2,ctc_cluster,3,NULL,resting
GSM5452867,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,resting
GSM5452868,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,resting
GSM5452869,GSE180097,breast,xenograft,LM2,ctc_cluster,6,NULL,resting
GSM5452870,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,resting
GSM5452871,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,resting
GSM5452872,GSE180097,breast,xenograft,LM2,ctc_cluster,3,NULL,resting
GSM5452873,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,resting
GSM5452874,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,resting
GSM5452875,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,resting
GSM5452876,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,resting
GSM5452877,GSE180097,breast,xenograft,LM2,ctc_cluster,3,NULL,resting
GSM5452878,GSE180097,breast,xenograft,LM2,ctc_cluster,3,NULL,resting
GSM5452879,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,resting
GSM5452880,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,resting
GSM5452881,GSE180097,breast,xenograft,LM2,ctc_cluster,7,NULL,resting
GSM5452882,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,resting
GSM5452883,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,resting
GSM5452884,GSE180097,breast,xenograft,LM2,ctc_cluster,3,NULL,resting
GSM5452885,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,resting
GSM5452886,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,active
GSM5452887,GSE180097,breast,xenograft,LM2,ctc_cluster,3,NULL,active
GSM5452888,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,active
GSM5452889,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,active
GSM5452890,GSE180097,breast,xenograft,LM2,ctc_cluster,3,NULL,active
GSM5452891,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,active
GSM5452892,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,active
GSM5452893,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,active
GSM5452894,GSE180097,breast,xenograft,LM2,ctc_cluster,4,NULL,active
GSM5452895,GSE180097,breast,xenograft,LM2,ctc_cluster,4,NULL,active
GSM5452896,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,active
GSM5452897,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,active
GSM5452898,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,active
GSM5452899,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,active
GSM5452900,GSE180097,breast,xenograft,LM2,ctc_cluster,4,NULL,active
GSM5452901,GSE180097,breast,xenograft,LM2,ctc_cluster,3,NULL,active
GSM5452902,GSE180097,breast,xenograft,LM2,ctc_cluster,10,NULL,active
GSM5452903,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,active
GSM5452904,GSE180097,breast,xenograft,LM2,ctc_cluster,3,NULL,active
GSM5452905,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,active
GSM5452906,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,active
GSM5452907,GSE180097,breast,xenograft,LM2,ctc_cluster,2,NULL,active
GSM5452908,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452909,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452910,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452911,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452912,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452913,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452914,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452915,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452916,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452917,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452918,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452919,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452920,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452921,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452922,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452923,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452924,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452925,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
